frame_idx,time_s,track_id,class,cx,cy,speed_kmh,counted_event,is_moving
1,0.0333,22,motorbike,2371,824,,0,1
1,0.0333,21,car,3207,601,,0,1
1,0.0333,20,car,1758,489,,0,1
1,0.0333,19,motorbike,1456,872,,0,1
1,0.0333,18,car,2307,442,,0,1
1,0.0333,17,motorbike,1151,1341,,0,1
1,0.0333,16,car,1954,512,,0,1
1,0.0333,15,car,2135,475,,0,1
1,0.0333,14,motorbike,2079,1674,,0,1
1,0.0333,13,car,2231,526,,0,1
1,0.0333,12,car,1871,518,,0,1
1,0.0333,11,motorbike,1067,1476,,0,1
1,0.0333,10,motorbike,1394,1362,,0,1
1,0.0333,9,truck,1691,970,,0,1
1,0.0333,8,car,1907,637,,0,1
1,0.0333,7,car,1945,914,,0,1
1,0.0333,6,car,2683,637,,0,1
1,0.0333,5,car,3219,1106,,1,1
1,0.0333,4,car,3154,765,,0,1
1,0.0333,3,car,2629,2159,,0,1
1,0.0333,2,bus,2162,872,,0,1
1,0.0333,1,car,1758,1466,,0,1
2,0.0667,25,motorbike,1347,1049,,1,1
2,0.0667,24,truck,2009,582,,0,1
2,0.0667,23,motorbike,1598,729,,0,1
2,0.0667,21,car,3163,602,,0,1
2,0.0667,20,car,1759,490,,0,1
2,0.0667,19,motorbike,1457,871,,0,1
2,0.0667,18,car,2314,443,,0,1
2,0.0667,17,motorbike,1154,1333,,0,1
2,0.0667,16,car,1955,513,,0,1
2,0.0667,15,car,2139,477,,0,1
2,0.0667,14,motorbike,2083,1710,,0,1
2,0.0667,13,car,2235,529,,0,1
2,0.0667,12,car,1871,518,,0,1
2,0.0667,11,motorbike,1067,1476,,0,1
2,0.0667,10,motorbike,1391,1371,,0,1
2,0.0667,9,truck,1690,974,,0,1
2,0.0667,8,car,1905,637,,0,1
2,0.0667,7,car,1944,918,,0,1
2,0.0667,6,car,2695,641,,0,1
2,0.0667,5,car,3251,1125,,0,1
2,0.0667,4,car,3175,773,,0,1
2,0.0667,3,car,2649,2166,,0,1
2,0.0667,2,bus,2165,876,,0,1
2,0.0667,1,car,1755,1481,,0,1
3,0.1,20,car,1759,491,,0,1
3,0.1,19,motorbike,1461,869,,0,1
3,0.1,18,car,2316,445,,0,1
3,0.1,17,motorbike,1154,1333,,0,1
3,0.1,16,car,1955,515,,0,1
3,0.1,15,car,2143,480,,0,1
3,0.1,13,car,2239,531,,0,1
3,0.1,12,car,1872,522,,0,1
3,0.1,11,motorbike,1067,1478,,0,1
3,0.1,10,motorbike,1387,1383,,0,1
3,0.1,9,truck,1684,984,,0,1
3,0.1,8,car,1908,639,,0,1
3,0.1,7,car,1945,924,,0,1
3,0.1,6,car,2704,646,,0,1
3,0.1,5,car,3287,1147,,0,1
3,0.1,4,car,3199,781,,0,1
3,0.1,3,car,2671,2168,,0,1
3,0.1,2,bus,2172,882,,0,1
3,0.1,1,car,1751,1497,,0,1
4,0.1333,24,truck,2010,586,,0,1
4,0.1333,20,car,1759,491,,0,1
4,0.1333,19,motorbike,1462,870,,0,1
4,0.1333,18,car,2319,445,,0,1
4,0.1333,17,motorbike,1154,1333,,0,1
4,0.1333,16,car,1955,516,,0,1
4,0.1333,15,car,2147,481,,0,1
4,0.1333,13,car,2243,533,,0,1
4,0.1333,12,car,1873,522,,0,1
4,0.1333,11,motorbike,1067,1476,,0,1
4,0.1333,10,motorbike,1385,1398,,0,1
4,0.1333,9,truck,1681,990,,0,1
4,0.1333,8,car,1908,643,,0,1
4,0.1333,7,car,1943,931,,0,1
4,0.1333,6,car,2713,652,,0,1
4,0.1333,5,car,3319,1174,,0,1
4,0.1333,4,car,3223,791,,0,1
4,0.1333,3,car,2678,2167,,0,1
4,0.1333,2,bus,2172,889,,0,1
4,0.1333,1,car,1747,1516,,0,1
5,0.1667,24,truck,2010,586,,0,1
5,0.1667,20,car,1759,491,,0,1
5,0.1667,19,motorbike,1462,870,,0,1
5,0.1667,18,car,2320,445,,0,1
5,0.1667,17,motorbike,1154,1332,,0,1
5,0.1667,16,car,1955,516,,0,1
5,0.1667,15,car,2148,481,,0,1
5,0.1667,14,motorbike,2107,1796,,0,1
5,0.1667,13,car,2244,533,,0,1
5,0.1667,12,car,1873,522,,0,1
5,0.1667,11,motorbike,1067,1476,,0,1
5,0.1667,10,motorbike,1385,1402,,0,1
5,0.1667,9,truck,1680,992,,0,1
5,0.1667,8,car,1908,644,,0,1
5,0.1667,7,car,1943,932,,0,1
5,0.1667,6,car,2715,653,,0,1
5,0.1667,5,car,3327,1181,,0,1
5,0.1667,4,car,3228,793,,0,1
5,0.1667,3,car,2679,2163,,0,1
5,0.1667,2,bus,2171,891,,0,1
5,0.1667,1,car,1746,1521,,0,1
6,0.2,27,motorbike,1954,694,,0,1
6,0.2,26,car,3132,589,,0,1
6,0.2,24,truck,2013,589,,0,1
6,0.2,20,car,1759,492,,0,1
6,0.2,19,motorbike,1462,870,,0,1
6,0.2,18,car,2320,446,,0,1
6,0.2,17,motorbike,1153,1338,,0,1
6,0.2,16,car,1956,516,,0,1
6,0.2,15,car,2148,482,,0,1
6,0.2,14,motorbike,2118,1827,,0,1
6,0.2,13,car,2247,533,,0,1
6,0.2,12,car,1873,523,,0,1
6,0.2,11,motorbike,1067,1476,,0,1
6,0.2,10,motorbike,1380,1412,,0,1
6,0.2,9,truck,1680,995,,0,1
6,0.2,8,car,1908,643,,0,1
6,0.2,7,car,1943,938,,0,1
6,0.2,6,car,2723,655,,0,1
6,0.2,5,car,3357,1200,,0,1
6,0.2,4,car,3247,801,,0,1
6,0.2,3,car,2693,2165,,0,1
6,0.2,2,bus,2176,896,,0,1
6,0.2,1,car,1743,1537,,0,1
7,0.2333,26,car,3127,587,,0,1
7,0.2333,24,truck,2014,590,,0,1
7,0.2333,20,car,1759,492,,0,1
7,0.2333,19,motorbike,1459,871,,0,1
7,0.2333,18,car,2322,447,,0,1
